row_id,country,is_urban,age,Gender,married,education_level,literacy,employed_last_year,employment_category_last_year,employment_type_last_year,share_hh_income_provided,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,has_insurance,has_investment,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,phone_technology,phone_ownership,reg_bank_acct,active_bank_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year,Poverty
11,A,FALSE,24,male,FALSE,3,TRUE,FALSE,housewife_or_student,not_working,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,FALSE,FALSE,0,0,0,1
12,F,FALSE,15,male,FALSE,2,FALSE,FALSE,housewife_or_student,not_working,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,0
13,I,TRUE,50,male,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
14,G,TRUE,28,female,TRUE,2,TRUE,TRUE,employed,irregular_seasonal,5,1,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,TRUE,FALSE,1,1,4,1
15,J,FALSE,26,female,TRUE,1,FALSE,TRUE,employed,irregular_seasonal,2,2,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,1,0,0
16,G,FALSE,21,female,FALSE,3,TRUE,FALSE,other,other,4,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,5,1
17,J,FALSE,23,female,TRUE,1,FALSE,TRUE,employed,irregular_seasonal,3,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,1,0,0
18,F,FALSE,55,female,TRUE,2,TRUE,FALSE,housewife_or_student,not_working,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,1
19,C,FALSE,45,male,TRUE,0,FALSE,TRUE,employed,salaried,2,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
20,A,FALSE,35,female,TRUE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,2,FALSE,FALSE,0,0,0,1
21,J,TRUE,60,female,FALSE,1,TRUE,TRUE,employed,self_employed,3,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,3,2,5,1
22,J,FALSE,72,male,TRUE,0,FALSE,TRUE,employed,irregular_seasonal,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
23,D,TRUE,55,female,TRUE,0,FALSE,FALSE,unemployed,not_working,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,1,0,0
24,D,FALSE,22,male,TRUE,1,TRUE,TRUE,employed,self_employed,3,1,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1
25,A,TRUE,51,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,0
26,J,FALSE,19,female,FALSE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,2,FALSE,FALSE,0,0,0,1
27,F,FALSE,32,female,TRUE,,FALSE,FALSE,other,other,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
28,A,TRUE,51,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,0,0,0,0
29,G,FALSE,20,male,FALSE,2,TRUE,FALSE,other,other,4,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,FALSE,3,0,6,1
30,G,FALSE,35,female,TRUE,2,TRUE,TRUE,employed,salaried,5,2,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,TRUE,TRUE,4,0,6,1
31,G,FALSE,27,female,TRUE,2,TRUE,TRUE,employed,self_employed,1,3,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,2,TRUE,FALSE,1,1,4,1
32,F,FALSE,20,female,FALSE,2,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,0,0,0,0
33,F,FALSE,30,male,FALSE,3,TRUE,TRUE,employed,salaried,5,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,2,TRUE,TRUE,1,0,3,1
34,I,FALSE,48,female,TRUE,1,TRUE,TRUE,employed,self_employed,2,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,1,0,1
35,C,FALSE,40,female,FALSE,0,TRUE,FALSE,housewife_or_student,not_working,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,TRUE,TRUE,1,0,0,1
36,A,FALSE,29,male,TRUE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1
37,A,FALSE,28,male,TRUE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,2,FALSE,FALSE,1,0,1,1
38,G,FALSE,48,female,TRUE,0,FALSE,FALSE,unemployed,not_working,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,0
39,I,TRUE,55,female,TRUE,3,TRUE,TRUE,employed,salaried,5,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,1,2,5,1
40,I,FALSE,59,female,TRUE,3,TRUE,TRUE,employed,self_employed,5,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,2,FALSE,FALSE,0,1,0,1
41,G,FALSE,26,female,TRUE,1,TRUE,TRUE,employed,self_employed,3,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,FALSE,FALSE,1,1,2,1
42,J,TRUE,28,female,FALSE,2,TRUE,TRUE,employed,self_employed,5,1,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,2,TRUE,FALSE,1,0,5,1
43,A,FALSE,35,female,TRUE,1,TRUE,FALSE,housewife_or_student,not_working,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,0,0,0,1
44,I,TRUE,80,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,2,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,1,0,0
45,G,FALSE,35,male,TRUE,1,TRUE,TRUE,employed,salaried,5,1,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3,2,TRUE,FALSE,3,1,7,1
46,D,TRUE,24,female,FALSE,3,TRUE,TRUE,employed,self_employed,2,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,6,1
47,C,TRUE,39,female,TRUE,3,TRUE,TRUE,employed,salaried,3,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,1,1
48,F,FALSE,35,female,TRUE,0,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,1
49,F,FALSE,29,male,TRUE,3,TRUE,TRUE,employed,irregular_seasonal,5,1,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,2,TRUE,TRUE,1,0,5,1
50,G,FALSE,55,female,FALSE,2,TRUE,FALSE,retired_or_disabled,not_working,2,1,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2,2,TRUE,TRUE,3,0,5,1
51,D,TRUE,20,male,FALSE,2,TRUE,TRUE,employed,salaried,2,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,FALSE,1,1,6,1
52,F,FALSE,30,male,TRUE,0,FALSE,TRUE,employed,self_employed,2,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
53,A,FALSE,36,female,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,FALSE,FALSE,1,0,1,0
54,G,TRUE,29,male,FALSE,3,TRUE,TRUE,employed,salaried,2,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,7,1
55,A,FALSE,46,female,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,1,0,1,0
56,D,TRUE,60,male,FALSE,3,TRUE,FALSE,other,other,5,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,1,8,1
57,C,TRUE,35,female,TRUE,3,TRUE,TRUE,employed,self_employed,5,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,1,5,1
58,A,FALSE,38,male,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,4,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,0
59,G,FALSE,43,male,TRUE,2,TRUE,TRUE,employed,salaried,4,2,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,10,1
60,J,FALSE,26,female,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
61,F,TRUE,30,female,TRUE,3,TRUE,TRUE,employed,salaried,4,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,TRUE,TRUE,1,0,3,1
62,A,FALSE,22,male,FALSE,3,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,FALSE,FALSE,1,0,1,1
63,A,FALSE,40,female,TRUE,2,TRUE,FALSE,housewife_or_student,not_working,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,TRUE,TRUE,2,0,1,1
64,I,FALSE,35,female,TRUE,2,TRUE,TRUE,employed,self_employed,4,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,2,TRUE,TRUE,1,1,4,1
65,D,FALSE,31,female,FALSE,1,TRUE,FALSE,housewife_or_student,not_working,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,0,0,0,1
66,J,FALSE,54,female,TRUE,0,FALSE,TRUE,employed,irregular_seasonal,5,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
67,F,TRUE,32,male,FALSE,3,TRUE,TRUE,employed,salaried,2,1,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3,2,TRUE,TRUE,1,2,4,1
68,G,FALSE,32,female,FALSE,2,TRUE,TRUE,employed,salaried,2,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,2,FALSE,FALSE,1,0,5,1
69,J,FALSE,70,male,FALSE,0,FALSE,TRUE,employed,irregular_seasonal,2,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
70,D,FALSE,32,female,TRUE,1,TRUE,TRUE,employed,self_employed,2,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,2,FALSE,FALSE,1,0,1,1
71,C,FALSE,42,female,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,0,0,0,0
72,J,FALSE,24,male,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,0,0,0,0
73,G,TRUE,34,male,FALSE,2,TRUE,FALSE,housewife_or_student,not_working,2,1,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,5,1
74,C,FALSE,31,female,TRUE,2,TRUE,TRUE,employed,salaried,4,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,2,TRUE,TRUE,2,0,1,1
75,A,FALSE,45,female,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,FALSE,FALSE,0,0,0,0
76,A,TRUE,41,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,FALSE,FALSE,0,0,0,0
77,I,TRUE,26,female,TRUE,2,TRUE,TRUE,employed,salaried,5,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,2,1
78,F,FALSE,40,female,TRUE,3,TRUE,TRUE,employed,self_employed,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,6,1
79,C,FALSE,29,female,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,TRUE,TRUE,1,0,1,0
80,J,FALSE,32,male,FALSE,1,FALSE,TRUE,employed,irregular_seasonal,5,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
81,I,FALSE,35,female,TRUE,3,TRUE,TRUE,employed,self_employed,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,0,0,0,1
82,F,FALSE,30,male,TRUE,2,FALSE,FALSE,housewife_or_student,not_working,4,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,0,0,0,0
83,J,FALSE,25,female,FALSE,3,TRUE,TRUE,employed,irregular_seasonal,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,2,FALSE,FALSE,1,0,4,1
84,D,TRUE,45,female,TRUE,3,TRUE,TRUE,employed,self_employed,5,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,4,1
85,J,FALSE,18,male,FALSE,2,TRUE,TRUE,employed,irregular_seasonal,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1
86,I,TRUE,54,female,TRUE,3,TRUE,TRUE,employed,self_employed,2,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,2,FALSE,FALSE,0,0,0,1
87,G,FALSE,33,female,TRUE,2,TRUE,TRUE,employed,self_employed,4,2,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,2,TRUE,TRUE,2,1,7,1
88,I,FALSE,21,male,FALSE,2,TRUE,TRUE,employed,self_employed,5,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,2,FALSE,FALSE,1,1,5,1
89,J,FALSE,26,female,TRUE,1,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,1,0,1,1
90,F,TRUE,24,male,TRUE,2,TRUE,TRUE,employed,self_employed,2,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,FALSE,0,0,0,1
91,C,TRUE,38,female,TRUE,3,TRUE,TRUE,employed,salaried,5,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,4,0,8,1
92,J,FALSE,39,male,TRUE,3,TRUE,TRUE,employed,salaried,5,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,2,TRUE,TRUE,2,1,6,1
93,F,FALSE,30,female,TRUE,0,FALSE,TRUE,employed,irregular_seasonal,5,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
94,A,FALSE,43,male,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,0,0,0,0
95,A,FALSE,29,female,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
96,G,FALSE,37,female,FALSE,1,FALSE,FALSE,other,other,2,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
97,G,FALSE,25,female,TRUE,0,FALSE,FALSE,unemployed,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,0
98,F,TRUE,17,female,FALSE,2,TRUE,TRUE,employed,self_employed,3,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,3,1
99,F,TRUE,28,male,FALSE,0,FALSE,FALSE,unemployed,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
100,A,FALSE,22,male,TRUE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,0,0,0,1
101,G,TRUE,20,female,FALSE,2,TRUE,TRUE,employed,self_employed,3,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,3,1
102,F,TRUE,43,male,TRUE,3,TRUE,TRUE,employed,salaried,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,4,1
103,A,FALSE,26,female,FALSE,3,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,FALSE,FALSE,1,0,2,1
104,F,FALSE,76,male,FALSE,1,FALSE,TRUE,employed,self_employed,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
105,F,FALSE,26,female,TRUE,3,TRUE,FALSE,housewife_or_student,not_working,2,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3,2,TRUE,TRUE,1,1,3,1
106,C,FALSE,50,female,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,0,0,0,0
107,A,FALSE,80,male,TRUE,0,FALSE,FALSE,retired_or_disabled,not_working,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,0,0,0,0
108,A,FALSE,37,female,TRUE,1,FALSE,FALSE,housewife_or_student,not_working,1,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,FALSE,FALSE,2,0,1,0
109,C,FALSE,23,female,FALSE,2,TRUE,FALSE,unemployed,not_working,5,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,TRUE,FALSE,0,0,0,1
110,F,TRUE,32,female,TRUE,3,TRUE,TRUE,employed,self_employed,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,1,1
111,G,TRUE,22,female,FALSE,3,TRUE,TRUE,employed,self_employed,3,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,2,10,1
112,G,TRUE,28,female,FALSE,3,TRUE,TRUE,employed,salaried,5,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,2,1,2,1
113,I,FALSE,25,female,FALSE,2,TRUE,TRUE,employed,salaried,2,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,0,1,0,1
114,A,FALSE,59,male,TRUE,1,FALSE,FALSE,retired_or_disabled,not_working,1,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,1,0,0,0
115,G,TRUE,19,female,FALSE,2,TRUE,FALSE,housewife_or_student,not_working,2,3,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,TRUE,FALSE,1,0,4,1
116,J,FALSE,66,female,TRUE,3,TRUE,FALSE,retired_or_disabled,not_working,5,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,2,FALSE,FALSE,1,0,1,1
117,A,FALSE,71,male,TRUE,0,FALSE,FALSE,retired_or_disabled,not_working,5,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
118,D,TRUE,27,male,FALSE,2,TRUE,TRUE,employed,salaried,5,3,2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,2,TRUE,FALSE,1,0,5,1
119,F,TRUE,32,female,FALSE,3,TRUE,TRUE,employed,self_employed,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,5,1
120,F,TRUE,33,female,TRUE,3,TRUE,TRUE,employed,salaried,4,1,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,2,TRUE,TRUE,1,0,3,1
121,I,FALSE,32,female,TRUE,2,TRUE,TRUE,employed,self_employed,4,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,1,0,2,1
122,I,TRUE,46,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,0,0,0,0
123,J,FALSE,67,male,FALSE,1,FALSE,FALSE,retired_or_disabled,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,1,0,0
124,F,TRUE,30,female,FALSE,2,TRUE,FALSE,other,other,5,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,1,2,4,1
125,G,FALSE,44,female,TRUE,3,TRUE,TRUE,employed,irregular_seasonal,2,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,FALSE,FALSE,1,0,6,1
126,F,FALSE,23,female,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,2,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
127,D,TRUE,22,female,FALSE,1,TRUE,TRUE,employed,self_employed,2,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,2,FALSE,FALSE,0,1,0,1
128,G,TRUE,30,male,FALSE,3,TRUE,TRUE,employed,salaried,3,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,2,TRUE,TRUE,2,0,7,1
129,F,FALSE,60,female,TRUE,0,FALSE,TRUE,employed,irregular_seasonal,5,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
130,A,FALSE,30,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,1,0,1,0
131,F,FALSE,29,male,TRUE,2,FALSE,TRUE,employed,self_employed,2,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
132,G,TRUE,23,male,FALSE,3,TRUE,FALSE,housewife_or_student,not_working,2,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,2,TRUE,TRUE,2,0,8,1
133,C,FALSE,30,male,TRUE,3,TRUE,TRUE,employed,salaried,4,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,TRUE,TRUE,1,0,1,1
134,J,FALSE,15,male,FALSE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,FALSE,FALSE,1,0,1,1
135,D,FALSE,35,male,TRUE,2,TRUE,TRUE,employed,irregular_seasonal,3,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,TRUE,FALSE,2,0,5,1
136,I,FALSE,29,male,TRUE,1,FALSE,TRUE,employed,salaried,5,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
137,D,FALSE,52,male,TRUE,3,TRUE,TRUE,employed,salaried,5,2,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,2,TRUE,TRUE,2,0,3,1
138,G,FALSE,28,male,TRUE,3,TRUE,TRUE,employed,salaried,3,2,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,TRUE,TRUE,2,1,3,1
139,F,TRUE,31,female,TRUE,3,TRUE,TRUE,employed,self_employed,5,2,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,2,TRUE,TRUE,1,0,4,1
